"fine","coarse"
"Adipocyte","Fibroblast"
"CAF","Fibroblast"
"CD4 T cell","T cells"
"CD8 T cell","T cells"
"cDC I","Myeloid"
"Endothelial","Endothelial"
"Enteric Glial","Neuronal"
"Enterocyte","Intestinal Epithelial"
"Epithelial","Smooth Muscle"
"Fibroblast","Fibroblast"
"Goblet","Intestinal Epithelial"
"Lymphatic Endothelial","Endothelial"
"Macrophage","Myeloid"
"Mast","Myeloid"
"Mature B","B cells"
"Memory B","B cells"
"mRegDC","Myeloid"
"Myofibroblast","Fibroblast"
"Neuroendocrine","Neuronal"
"Neutrophil","Myeloid"
"NK","T cells"
"pDC","Myeloid"
"Pericytes","Fibroblast"
"Plasma","B cells"
"Proliferating Fibroblast","Fibroblast"
"Proliferating Immune II","B cells"
"Proliferating Macrophages","Myeloid"
"QC_Filtered","QC_Filtered"
"SM Stress Response","Smooth Muscle"
"Smooth Muscle","Smooth Muscle"
"Tuft","Neuronal"
"Tumor I","Tumor"
"Tumor II","Tumor"
"Tumor III","Tumor"
"Tumor IV","Tumor"
"Tumor V","Tumor"
"Unknown III (SM)","Smooth Muscle"
"Vascular Fibroblast","Fibroblast"
"vSM","Smooth Muscle"
